Girl_age,Relationship_Status,Past_RelationShips,Body_Count,Easy_Moveon,Looks,Response,Introvert/Extrovert,Superiority_Complex,Mistake_Acceptance,Open_to_Phone,Pays_Bill,High_Maintenance,Male_Bestfriends,Time_with_male_friends(In min),Feminist,GenZ_prespective,Red_Flag?
12,Yes,0,0,Mid,0,Normal,I,Yes,No,Yes,No,No,0,0,Yes,No,White
12,Yes,1,0,Mid,4,Normal,E,No ,No,No,No,No,0,0,No,No,White
12,Yes,0,0,Mid,9,Normal,I,No ,No,Yes,No,No,0,0,Yes,No,Green
12,No,1,0,Mid,2,Interested ,E,No ,No,No,No,Yes,0,0,No,Yes,Red
12,Yes,0,0,Mid,3,Normal,I,No ,Yes,No,No,No,0,0,Yes,No,Green
12,Yes,1,0,Low,7,Interested ,I,No ,No,No,No,No,0,0,No,No,Green
12,No,0,0,Mid,6,Not interested ,I,Yes,No,No,Yes,No,1,20,No,No,White
12,No,1,0,Low,7,Normal,E,No ,No,Yes,No,No,0,0,No,Yes,White
12,Yes,0,0,High,9,Normal,E,Yes,No,Yes,No,No,1,20,Yes,No,Red
12,No,1,0,Mid,10,Normal,I,No ,Yes,Yes,No,No,1,20,Yes,No,Green
12,No,0,0,Mid,4,Normal,E,Yes,No,No,No,Yes,1,20,Yes,No,Red
12,No,1,0,High,6,Normal,I,No ,No,No,Yes,Yes,0,0,No,No,White
12,No,1,0,Mid,9,Normal,E,No ,No,Yes,No,No,1,20,Yes,No,White
12,Yes,7,0,Mid,8,Normal,I,No ,No,Yes,No,No,0,0,Yes,No,Red
12,Yes,0,0,Mid,7,Interested ,E,No ,No,Yes,No,No,1,20,No,Yes,Green
12,Yes,1,0,Mid,8,Not interested ,I,No ,No,Yes,Yes,No,1,20,No,No,Green
12,No,0,0,Mid,9,Not interested ,I,No ,No,No,No,No,0,0,No,No,White
12,Yes,10,1,High,7,Normal,E,No ,No,Yes,No,No,1,20,No,No,Red
12,No,1,0,Low,7,Normal,E,No ,No,No,Yes,No,0,0,No,No,White
12,Yes,0,0,Mid,9,Normal,I,No ,No,Yes,No,No,1,20,No,No,Green
12,Yes,1,0,Low,6,Normal,E,No ,Yes,Yes,No,No,0,0,No,No,Green
12,No,0,0,Mid,7,Normal,E,No ,Yes,Yes,No,Yes,1,20,Yes,Yes,Red
12,Yes,1,0,Low,10,Normal,I,No ,No,Yes,No,No,0,0,Yes,No,White
12,Yes,0,0,Mid,10,Normal,E,No ,No,Yes,No,No,1,20,Yes,No,Green
12,No,0,0,Mid,10,Normal,I,No ,No,No,No,No,0,0,No,No,White
12,No,0,0,Mid,6,Not interested ,E,No ,No,Yes,No,No,1,20,Yes,No,White
12,Yes,1,0,High,5,Interested ,I,No ,No,No,No,No,1,20,No,Yes,White
12,No,0,0,Mid,8,Not Interested ,I,No ,No,No,No,No,0,0,Yes,No,White
12,No,1,0,Mid,9,Interested ,I,No ,No,No,No,Yes,2,40,No,No,White
12,Yes,1,0,Mid,9,Not interested ,E,No ,No,No,No,No,1,20,No,No,White
13,No,1,1,Low,0,Normal,E,No ,No,Yes,Yes,No,0,0,No,Yes,White
13,Yes,1,0,Mid,4,Not interested ,I,Yes,Yes,Yes,No,Yes,1,20,Yes,No,Red
13,Yes,1,0,Mid,9,Normal,E,No ,No,Yes,No,No,0,0,Yes,No,White
13,No,1,0,High,2,Normal,I,No ,No,No,No,No,1,20,Yes,No,White
13,Yes,0,0,Mid,3,Normal,E,No ,No,No,No,No,0,0,No,No,White
13,No,0,0,Mid,7,Normal,I,No ,No,Yes,Yes,No,1,20,Yes,No,Green
13,No,0,0,Mid,6,Normal,E,No ,Yes,Yes,No,No,0,0,Yes,No,Green
13,No,0,0,Mid,7,Not interested ,I,Yes,No,Yes,No,No,1,20,No,Yes,Red
13,Yes,0,0,High,9,Not interested ,I,Yes,No,Yes,No,No,0,0,No,No,White
13,No,0,0,Low,10,Not interested ,E,No ,No,No,Yes,No,3,60,No,No,White
13,No,1,0,Mid,4,Normal,E,No ,No,Yes,No,Yes,1,20,No,No,White
13,Yes,1,0,Mid,6,Normal,I,No ,No,No,No,No,0,0,No,No,White
13,No,1,0,Mid,9,Normal,E,No ,No,Yes,Yes,No,1,20,No,No,White
13,Yes,1,0,Mid,8,Normal,E,No ,No,Yes,No,Yes,0,0,No,No,White
13,Yes,1,0,Mid,7,Normal,I,No ,No,Yes,No,No,1,20,Yes,Yes,White
13,No,0,0,Mid,8,Normal,E,No ,No,Yes,No,No,0,0,Yes,No,White
13,No,0,0,Mid,9,Normal,I,No ,No,Yes,No,No,1,20,Yes,No,White
13,No,0,0,Mid,7,Normal,E,No ,Yes,No,No,No,2,40,No,No,Green
13,Yes,1,0,Mid,7,Normal,I,No ,Yes,Yes,No,No,3,0,Yes,No,Green
13,Yes,2,0,Mid,9,Interested ,I,No ,No,No,No,No,3,60,No,Yes,White
13,Yes,1,0,Mid,6,Normal,I,No ,No,No,No,No,0,0,Yes,No,White
13,Yes,1,0,Mid,7,Not interested ,E,No,No,No,No,No,0,0,No,No,White
13,No,0,0,Mid,10,Interested ,E,No,No,No,No,No,3,60,No,No,White
13,Yes,1,0,High,10,Normal,I,Yes,No,Yes,No,Yes,3,60,No,Yes,Red
13,Yes,2,0,High,10,Interested ,E,Yes,No,Yes,Yes,No,1,20,Yes,No,White
13,No,1,0,Mid,6,Normal,I,No ,No,Yes,No,No,2,40,Yes,No,Green
13,No,5,1,Low,5,Not interested ,E,No ,No,No,No,No,2,40,Yes,No,White
13,Yes,1,0,Low,8,Normal,I,No ,No,No,No,No,1,20,No,No,White
13,No,4,0,Mid,9,Normal,E,No ,Yes,Yes,No,No,0,0,Yes,No,White
13,No,1,0,Mid,9,Normal,I,No ,No,Yes,Yes,Yes,1,20,Yes,No,White
13,No,5,0,High,0,Normal,I,Yes,No,Yes,No,Yes,1,20,No,Yes,Red
14,No,6,1,Mid,4,Normal,E,Yes,No,Yes,No,Yes,2,40,No,No,Red
14,Yes,2,0,Low,9,Normal,E,No ,No,No,No,No,3,60,No,No,White
14,Yes,5,0,Mid,2,Normal,I,No ,Yes,Yes,Yes,No,0,0,No,No,Green
14,Yes,2,0,High,3,Normal,E,No ,No,No,No,Yes,1,20,No,No,White
14,No,1,0,Low,7,Not interested ,E,No ,No,Yes,No,No,2,40,No,No,White
14,Yes,1,0,Mid,6,Not interested ,I,No ,No,Yes,Yes,No,0,0,No,No,White
14,No,2,0,Mid,7,Normal,E,No ,No,Yes,No,Yes,1,20,Yes,Yes,Red
14,Yes,1,0,Mid,9,Normal,I,No ,No,Yes,No,No,2,40,Yes,No,Green
14,Yes,2,0,Mid,10,Normal,E,No ,No,Yes,No,Yes,0,0,Yes,No,White
14,No,1,0,Mid,4,Not interested ,I,No ,No,No,No,No,1,20,No,No,White
14,Yes,1,0,Low,6,Not interested ,I,No ,No,Yes,No,No,2,40,Yes,No,White
14,Yes,2,0,Mid,9,Normal,I,No ,No,No,No,No,3,60,No,Yes,White
14,No,1,0,Low,8,Normal,E,No ,No,No,No,No,3,60,Yes,No,White
14,No,2,0,High,7,Normal,E,No,Yes,No,No,No,0,0,No,No,Green
14,Yes,2,0,Mid,8,Interested ,I,No,Yes,No,No,No,2,40,No,No,Green
14,No,2,0,Mid,9,Interested ,E,No,No,Yes,No,No,2,40,No,Yes,White
14,No,3,1,High,7,Not Interested ,I,Yes,No,Yes,No,No,3,60,Yes,No,Red
14,Yes,3,0,Mid,7,Not interested ,E,No ,No,Yes,Yes,Yes,0,0,Yes,No,White
14,No,3,0,Mid,9,Not interested ,I,No ,No,No,No,Yes,2,40,Yes,No,Red
14,Yes,1,0,Mid,6,Normal,E,No ,No,No,No,Yes,3,60,No,No,White
14,Yes,3,0,Mid,7,Normal,I,No ,No,Yes,No,Yes,3,60,Yes,No,White
14,No,3,0,Mid,10,Not interested ,I,No ,No,Yes,No,No,1,20,Yes,No,Green
14,Yes,2,0,High,10,Not interested ,E,Yes,No,Yes,Yes,No,0,0,No,Yes,Red
14,No,0,0,Low,10,Normal,E,Yes,No,Yes,No,No,3,60,No,No,Red
14,No,1,0,Mid,6,Normal,I,No ,Yes,No,No,No,2,40,No,No,Green
14,No,2,0,Low,5,Normal,E,No ,No,Yes,No,No,4,0,No,No,Green
14,Yes,4,1,Mid,8,Interested ,E,No ,No,No,Yes,No,4,80,No,No,White
14,No,1,0,Low,9,Normal,I,No ,No,Yes,No,No,4,80,No,No,Green
14,No,2,0,Mid,9,Interested ,E,No ,No,Yes,No,No,0,0,No,No,Green
14,Yes,1,0,Mid,0,Not interested ,I,No ,Yes,Yes,Yes,No,0,0,Yes,Yes,White
14,No,5,2,Mid,4,Normal,E,No ,No,Yes,No,No,1,20,Yes,No,Red
15,Yes,2,0,High,9,Normal,I,No ,No,Yes,No,No,2,40,Yes,No,White
15,Yes,2,0,Mid,2,Normal,I,No ,No,No,No,No,3,60,No,No,White
15,No,5,0,Mid,3,Normal,I,No ,No,Yes,No,No,5,100,Yes,No,White
15,No,3,0,Mid,7,Normal,E,No ,No,No,No,No,0,0,No,Yes,White
15,No,2,0,Low,6,Normal,E,No ,No,No,No,No,2,40,Yes,No,White
15,Yes,1,0,Mid,7,Normal,I,No,No,No,No,Yes,4,80,No,No,White
15,Yes,0,0,Mid,9,Interested ,E,No,No,No,No,Yes,2,40,No,No,White
15,Yes,0,0,High,10,Not interested ,I,Yes,No,Yes,No,Yes,0,0,No,Yes,Red
15,Yes,2,0,Mid,4,Not interested ,E,Yes,No,Yes,No,No,1,20,Yes,No,Red
15,No,1,0,Mid,6,Normal,I,No ,Yes,Yes,No,No,4,80,Yes,No,White
15,Yes,3,0,Mid,9,Normal,E,No ,Yes,No,Yes,No,3,60,Yes,No,White
15,Yes,4,0,Mid,8,Normal,I,No ,No,No,No,No,6,120,No,No,Red
15,No,2,0,High,7,Normal,I,No ,No,Yes,No,Yes,2,40,Yes,No,Red
15,No,1,0,Low,8,Normal,E,No ,No,Yes,No,No,0,0,Yes,No,White
15,Yes,2,0,Mid,9,Normal,E,Yes,No,Yes,No,No,5,100,No,Yes,Red
15,No,2,1,Mid,7,Normal,I,Yes,No,Yes,Yes,No,1,20,No,No,White
15,No,0,0,Mid,7,Normal,E,No ,No,No,No,No,1,20,No,No,White
15,No,2,0,Mid,9,Not interested ,E,No ,No,Yes,No,No,5,100,No,No,White
15,No,14,3,Mid,6,Interested ,I,No ,No,No,No,Yes,1,20,No,No,Red
15,Yes,1,0,Mid,7,Not Interested ,E,No ,No,Yes,Yes,Yes,0,0,No,No,White
15,Yes,1,0,Mid,10,Interested ,I,No ,Yes,Yes,No,No,0,0,No,No,Green
15,Yes,0,0,Mid,10,Not interested ,E,No ,No,Yes,No,No,1,20,Yes,Yes,Red
15,No,11,0,Mid,10,Normal,I,No ,No,Yes,Yes,No,0,0,Yes,No,Red
15,Yes,3,0,Mid,6,Not interested ,I,No ,No,Yes,No,No,0,0,Yes,No,White
15,No,3,0,Mid,5,Normal,I,No ,No,No,No,Yes,0,0,No,No,White
15,Yes,5,0,Mid,8,Normal,E,No ,Yes,Yes,No,No,0,0,Yes,No,White
15,Yes,6,0,Mid,9,Normal,E,No ,No,No,No,No,6,120,No,Yes,Red
15,No,2,0,High,9,Normal,I,No ,No,No,No,No,0,0,Yes,No,White
15,Yes,5,0,High,0,Normal,E,No,No,No,No,No,0,0,No,No,White
15,Yes,4,0,Mid,4,Not interested ,I,No,No,No,No,No,1,20,No,No,White
15,No,0,0,Low,9,Not interested ,E,No,No,Yes,No,Yes,2,40,No,No,White
15,No,0,0,Low,2,Not interested ,I,Yes,No,Yes,No,Yes,2,40,Yes,No,Red
16,Yes,2,0,Mid,3,Normal,E,No ,No,Yes,No,No,0,0,Yes,No,White
16,No,2,0,Mid,7,Normal,I,No ,No,No,No,No,0,0,Yes,Yes,White
16,No,2,0,High,6,Normal,I,No ,No,No,Yes,No,1,20,No,No,White
16,Yes,4,0,Mid,7,Normal,E,No ,No,Yes,No,No,2,40,Yes,No,White
16,No,4,0,Low,9,Normal,E,No ,Yes,Yes,No,Yes,3,60,Yes,Yes,Red
16,Yes,12,3,Mid,10,Normal,I,Yes,Yes,Yes,No,No,1,20,No,No,Red
16,Yes,0,1,High,4,Normal,E,Yes,No,Yes,No,No,0,0,No,No,White
16,No,2,0,Low,6,Normal,E,No ,No,No,Yes,No,3,0,No,No,Green
16,Yes,2,0,Mid,9,Normal,I,No ,No,Yes,No,No,3,60,No,Yes,White
16,No,3,0,Mid,8,Interested ,E,No ,No,No,No,No,1,20,No,No,White
16,No,6,0,Mid,7,Normal,I,No ,No,Yes,No,Yes,2,40,No,No,White
16,No,2,0,Mid,8,Not interested ,E,No ,No,Yes,Yes,Yes,0,0,No,Yes,White
16,Yes,1,0,Mid,9,Interested ,I,No ,No,Yes,No,No,0,0,Yes,No,White
16,No,0,0,Low,7,Normal,I,No ,No,Yes,No,No,1,20,Yes,Yes,White
16,No,0,0,Mid,7,Interested ,I,No ,No,Yes,Yes,No,2,40,Yes,No,White
16,Yes,2,0,Low,9,Normal,E,No ,Yes,No,No,No,3,60,No,Yes,White
16,No,2,0,High,6,Not interested ,E,No ,No,Yes,No,Yes,1,20,Yes,No,Red
16,Yes,2,0,Mid,7,Normal,I,No ,No,No,No,No,0,0,No,No,White
16,Yes,4,1,Mid,10,Normal,E,No ,No,No,No,No,4,80,Yes,Yes,White
16,No,3,0,High,10,Normal,I,No,No,No,No,No,2,40,No,No,White
16,No,1,0,Mid,10,Normal,E,No,Yes,No,No,No,4,80,No,Yes,White
16,No,3,0,Mid,6,Normal,I,No,No,Yes,No,No,5,100,No,No,White
16,Yes,0,0,Mid,5,Normal,E,Yes,No,Yes,No,Yes,6,120,Yes,No,Red
16,Yes,0,0,Mid,8,Normal,I,No ,No,Yes,No,Yes,4,80,Yes,Yes,Red
16,Yes,1,0,Mid,9,Normal,I,No ,No,No,No,No,0,0,Yes,No,White
16,Yes,2,0,High,9,Not interested ,E,No ,No,No,No,Yes,3,60,No,Yes,White
16,No,2,0,Low,0,Not interested ,E,No ,Yes,Yes,No,No,5,40,Yes,No,White
16,Yes,2,0,Mid,4,Normal,I,No ,Yes,Yes,Yes,No,4,80,Yes,No,Green
16,Yes,4,0,Low,9,Normal,E,Yes,No,Yes,No,Yes,1,20,No,No,White
16,No,16,4,Mid,2,Normal,E,Yes,No,Yes,Yes,No,0,0,No,Yes,Red
16,No,1,0,Low,3,Not interested ,I,No ,No,No,No,No,2,40,No,No,White
17,Yes,0,0,Mid,7,Not interested ,E,No ,No,Yes,No,Yes,6,120,No,No,White
17,No,4,0,Mid,6,Normal,I,No ,No,No,No,No,4,80,No,No,White
17,No,0,0,Mid,7,Normal,E,No ,No,Yes,No,No,1,20,No,Yes,White
17,No,3,0,High,9,Normal,I,No ,No,Yes,No,Yes,0,0,No,No,White
17,No,12,0,Mid,10,Interested ,I,No ,Yes,Yes,No,Yes,4,80,Yes,No,White
17,Yes,4,0,Mid,4,Interested ,I,No ,No,Yes,No,No,4,80,Yes,No,White
17,Yes,10,0,Mid,6,Not Interested ,E,No ,No,Yes,No,No,1,20,Yes,No,White
17,Yes,1,0,Low,9,Not interested ,E,No ,No,No,No,No,3,60,No,Yes,White
17,No,0,0,Mid,8,Not interested ,I,No ,No,Yes,No,No,5,100,Yes,No,White
17,Yes,5,0,Mid,7,Normal,E,No ,No,No,No,Yes,2,40,No,No,White
17,No,21,5,High,8,Normal,I,No ,No,No,No,No,3,60,Yes,No,Red
17,Yes,6,0,Mid,9,Not interested ,E,No,Yes,No,No,No,5,100,No,Yes,White
17,Yes,4,0,Mid,7,Not interested ,I,No,No,No,No,Yes,4,80,No,No,White
17,No,0,0,Mid,7,Normal,E,No,Yes,Yes,No,No,1,20,No,Yes,Green
17,Yes,3,0,Mid,9,Normal,I,Yes,Yes,Yes,Yes,No,3,60,Yes,No,White
17,Yes,3,0,High,6,Normal,I,No ,No,Yes,Yes,Yes,6,120,Yes,Yes,Red
17,No,2,0,Low,7,Interested ,E,No ,No,No,No,Yes,6,120,Yes,No,Red
17,No,3,0,Mid,10,Normal,E,No ,No,No,No,No,1,20,No,Yes,White
17,Yes,5,2,Mid,10,Interested ,I,No ,No,Yes,No,No,1,20,Yes,No,White
17,No,2,0,Mid,10,Not interested ,E,No ,No,Yes,No,No,5,100,Yes,Yes,Red
17,No,0,0,Mid,6,Normal,E,Yes,No,Yes,No,No,5,100,No,No,White
17,Yes,0,0,Mid,5,Normal,I,Yes,No,Yes,Yes,Yes,2,40,No,No,Red
17,No,2,0,Mid,8,Normal,E,No ,No,No,No,No,0,0,No,No,White
17,Yes,0,0,Mid,9,Normal,I,No ,No,Yes,No,Yes,2,40,No,Yes,White
17,Yes,0,0,Mid,9,Normal,E,No ,Yes,No,No,No,2,40,No,No,Green
17,No,4,0,Mid,6,Normal,I,No ,Yes,Yes,No,No,0,0,No,No,Green
17,Yes,1,2,Mid,4,Normal,I,No ,No,Yes,No,No,0,0,No,No,White
17,No,5,0,Mid,9,Interested ,I,No ,No,Yes,No,Yes,1,20,Yes,Yes,Red
17,No,0,0,Mid,2,Not interested ,E,No,No,Yes,No,Yes,2,40,Yes,No,White
17,No,5,0,Mid,3,Not interested ,E,No,No,Yes,No,No,2,40,Yes,No,White
17,Yes,2,0,High,7,Normal,I,No,No,No,Yes,No,3,60,Yes,No,White
18,No,0,0,High,6,Normal,E,Yes,No,Yes,No,No,0,0,Yes,No,White
18,No,11,2,Mid,7,Normal,I,No,No,No,No,No,1,20,Yes,Yes,Red
18,Yes,2,0,Low,9,Normal,E,Yes,Yes,No,No,Yes,4,80,Yes,No,Red
18,No,7,3,Low,10,Normal,I,No,No,No,No,No,2,40,Yes,No,White
18,Yes,0,0,Mid,4,Normal,E,Yes,No,No,No,Yes,3,60,Yes,No,Red
18,Yes,0,0,Mid,6,Normal,I,No,No,Yes,No,No,2,40,Yes,Yes,White
18,No,0,0,High,9,Normal,I,No,No,Yes,Yes,No,0,0,No,No,Green
18,No,1,0,Mid,8,Not interested ,E,No,Yes,Yes,Yes,No,1,20,No,Yes,Green
